Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Depreciation Rate (in %),Price (in lacs),City,RTO,Registration Month,Registration Year
Hyundai,EON Era,Third Party insurance,Petrol,5,"34,655",First Owner,814,Manual,2015,21.1,55.2,74.5,12,75,2.75,DelhiNCR,DL12,Mar,2015
Hyundai,EON Era Plus,Third Party insurance,Petrol,5,"65,739",First Owner,814,Manual,2016,21.1,55.2,74.5,,70,2.95,DelhiNCR,DL1V,Mar,2016
Audi,Q5 40 TDI Premium Plus,Comprehensive,Diesel,5,"30,000",First Owner,1968,Automatic,2020,17.01,188,400,18,30,44.0,DelhiNCR,JH01,Aug,2020
Maruti,Baleno 1.2 Zeta,Comprehensive,Petrol,5,"46,714",Second Owner,1197,Manual,2018,21.4,83.1,115,16,50,5.82,DelhiNCR,DL6C,Jun,2018
Volkswagen,Ameo 1.2 MPI Comfortline Plus,Comprehensive,Petrol,5,"43,567",First Owner,1198,Manual,2019,17,73.75,110,,40,5.86,DelhiNCR,HR51,Jun,2019
Maruti,Baleno Delta,Third Party,Petrol,5,"15,931",First Owner,1197,Manual,2021,21.01,81.80,113,,20,6.87,DelhiNCR,UP14,Jun,2021
Porsche,Cayenne Diesel Platinum Edition,Comprehensive,Diesel,5,"50,000",First Owner,2967,Automatic,2016,13.5,240,550,18,70,58.0,DelhiNCR,UP01,Dec,2016
Maruti,Alto K10 2010-2014 VXI,Third Party,Petrol,5,"28,407",First Owner,998,Manual,2012,20.92,67.1,90,13,75,2.22,DelhiNCR,DL9C,Jun,2012
Tata,Nexon 1.2 Revotron XMA,,Petrol,5,"27,113",First Owner,1198,Automatic,2020,17,108.5,170,,30,9.11,DelhiNCR,UP16,Oct,2020
Hyundai,i20 Sportz Option 1.2,Comprehensive,Petrol,5,"54,976",First Owner,1197,Manual,2014,18.6,81.83,114.7,16,75,5.38,DelhiNCR,DL7C,Jun,2014
Audi,Q3 35 TDI Quattro Premium Plus,Comprehensive,Diesel,5,"75,000",First Owner,1968,Automatic,2014,15.17,181,380,18,75,13.0,DelhiNCR,HR26,Dec,2014
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"31,352",First Owner,796,Manual,2016,22.74,47.3,69,,70,2.69,DelhiNCR,UP14,Jun,2016
Maruti,Alto 800 LXI CNG,Third Party insurance,CNG,5,"72,000",First Owner,796,Manual,2019,33,47.3,69,,40,3.65,DelhiNCR,HR30,Mar,2019
Maruti,Swift VXI,Third Party insurance,Petrol,5,"68,000",First Owner,1197,Manual,2014,18.6,85.8,114,14,75,3.85,DelhiNCR,HR51,Mar,2014
Isuzu,MU-X 4X4,Comprehensive,Diesel,7,"75,000",First Owner,2999,Automatic,2018,13.8,175,380,17,50,19.49,DelhiNCR,DL8C,Feb,2018
Tata,Tiago 1.2 Revotron XT,Third Party insurance,Petrol,5,"28,000",First Owner,1199,Manual,2019,23.84,84,114,,40,4.95,DelhiNCR,HR87,Mar,2019
Honda,Jazz V,Comprehensive,Petrol,5,"44,000",First Owner,1199,Manual,2015,18.2,88.7,110,15,75,5.25,DelhiNCR,UP16,Aug,2015
Tata,Tiago 1.2 Revotron XM,Third Party insurance,Petrol,5,"67,000",First Owner,1199,Manual,2018,23.84,84,114,,50,4.85,DelhiNCR,DL5C,Mar,2018
Mercedes-Benz,GLS 350d 4MATIC,Comprehensive,Diesel,7,"76,000",Second Owner,2987,Automatic,2016,11,258,620,20,70,51.9,DelhiNCR,DL3C,Jul,2016
Hyundai,i10 Era,Third Party insurance,Petrol,5,"49,000",First Owner,1086,Manual,2014,19.81,68.05,99.04,,75,3.07,DelhiNCR,DL8C,Mar,2014
Hyundai,i10 Era,Third Party insurance,Petrol,5,"46,000",First Owner,1086,Manual,2013,19.81,68.05,99.04,,75,2.75,DelhiNCR,HR06,Mar,2013
Hyundai,i10 Magna,Third Party insurance,Petrol,5,"66,143",First Owner,1197,Manual,2012,20.36,78.9,111.7,13,75,2.35,DelhiNCR,UP14,Mar,2012
Toyota,Camry 2.5 Hybrid,Third Party insurance,Petrol,5,"47,000",First Owner,2494,Automatic,2017,19.16,157.7,213,17,60,21.9,DelhiNCR,DL1C,Jul,2017
Maruti,Ignis 1.2 Delta BSIV,Third Party,Petrol,5,"28,168",First Owner,1197,Manual,2020,20.89,81.80,113,,30,5.63,DelhiNCR,DL3C,Jun,2020
Maruti,Vitara Brezza ZDi AMT,Comprehensive,Diesel,5,"45,023",First Owner,1248,Automatic,2019,24.3,88.5,200,16,40,9.43,DelhiNCR,DL9C,Jun,2019
Renault,Kiger RXZ Turbo,Comprehensive,Petrol,5,"6,654",First Owner,999,Manual,2021,20.5,98.63,160,16,20,9.48,DelhiNCR,UP14,Jun,2021
Volvo,S90 D4 Inscription BSIV,Third Party insurance,Diesel,5,"1,400",First Owner,1969,Automatic,2021,18,190,400,18,20,57.75,DelhiNCR,AS01,May,2021
Maruti,Wagon R LXI CNG,Third Party,CNG,5,"84,238",First Owner,998,Manual,2013,26.2,58.2,77,13,75,2.99,DelhiNCR,HR51,Jun,2013
Maruti,Vitara Brezza VDi,Third Party,Diesel,5,"37,894",First Owner,1248,Manual,2018,24.3,88.5,200,,50,7.86,DelhiNCR,UP14,Jun,2018
Tata,Tiago 1.2 Revotron XZA,Third Party,Petrol,5,"39,184",First Owner,1199,Automatic,2019,23.84,83.83,114,14,40,5.37,DelhiNCR,HR26,Jun,2019
Maruti,Vitara Brezza ZDi,Third Party,Diesel,5,"23,250",Second Owner,1248,Manual,2019,24.3,88.5,200,16,40,8.45,DelhiNCR,UP15,Jun,2019
Kia,Seltos GTX Plus DCT,Third Party,Petrol,5,"7,568",First Owner,1353,Automatic,2020,16.5,138.08,242,17,30,16.63,DelhiNCR,DL8C,Jun,2020
Hyundai,Venue SX Diesel,Third Party insurance,Diesel,5,"46,000",First Owner,1493,Manual,2019,23.7,98.6,240.26,,40,9.65,DelhiNCR,HR51,Mar,2019
Hyundai,Creta 1.4 E Plus,Third Party insurance,Diesel,5,"81,000",First Owner,1396,Manual,2018,22.1,88.7,219.7,,50,9.15,DelhiNCR,DL8C,Mar,2018
Mercedes-Benz,C-Class C 200 CGI Grand Edition,Comprehensive,Petrol,5,"28,000",First Owner,1796,Automatic,2018,11.74,186,285,16,50,36.5,DelhiNCR,UP14,Aug,2018
Mahindra,XUV300 W8 Option Diesel,Third Party insurance,Diesel,5,"25,000",First Owner,1497,Manual,2021,20.1,115.05,300,16,20,12.25,DelhiNCR,HR29,Mar,2021
Maruti,SX4 S Cross Delta DDiS 200 SH,Third Party insurance,Diesel,5,"90,000",First Owner,1248,Manual,2018,25.1,88.5,200,,50,7.25,DelhiNCR,HR87,Mar,2018
Maruti,SX4 S Cross DDiS 200 Delta,Third Party insurance,Diesel,5,"90,000",First Owner,1248,Manual,2017,23.65,88.5,200,,60,6.85,DelhiNCR,DL12,Jan,2018
Mercedes-Benz,E-Class Exclusive E 200,Comprehensive,Petrol,5,"34,000",Second Owner,1991,Automatic,2017,15,194.44,320,17,60,42.5,DelhiNCR,CH01,Oct,2017
Maruti,SX4 S Cross DDiS 200 Delta,Third Party insurance,Diesel,5,"82,065",First Owner,1248,Manual,2017,23.65,88.5,200,,60,6.35,DelhiNCR,HR26,Mar,2017
Honda,City 1.5 S MT,Third Party insurance,Petrol,5,"75,946",Second Owner,1497,Manual,2010,17,"118PS at 6,600 ",146Nm at 4800 r,15,75,2.25,DelhiNCR,DL9U,Mar,2010
Honda,City 1.5 V MT,Third Party insurance,Petrol,5,"75,000",First Owner,1497,Manual,2010,17,"118PS at 6,600 ",146Nm at 4800 r,15,75,2.55,DelhiNCR,HR26,Mar,2010
Mercedes-Benz,GLC 220d 4MATIC,Comprehensive,Diesel,5,"24,000",First Owner,1950,Automatic,2020,,194,400,19,30,55.0,DelhiNCR,JH01,Aug,2020
Maruti,Baleno 1.3 Delta,Third Party,Diesel,5,"50,718",First Owner,1248,Manual,2018,27.39,74,190,,50,6.07,DelhiNCR,HR26,Jun,2018
Maruti,Baleno 1.2 CVT Zeta,Third Party,Petrol,5,"40,191",Second Owner,1197,Automatic,2017,21.4,83.1,115,16,60,5.52,DelhiNCR,DL8C,Jun,2017
Maruti,Wagon R VXI 1.2,Third Party,Petrol,5,"18,481",First Owner,1197,Manual,2021,20.52,81.80,113,,20,6.08,DelhiNCR,HR20,Jun,2021
Mercedes-Benz,C-Class Progressive C 220d,Comprehensive,Diesel,5,"27,000",First Owner,1950,Automatic,2017,12.6,194,400,17,60,31.5,DelhiNCR,UP01,Aug,2017
Maruti,Swift LXI Option,Third Party,Petrol,5,"86,686",First Owner,1197,Manual,2017,20.4,81.80,113,,60,4.33,DelhiNCR,DL3C,Jun,2017
Honda,Amaze S Option i-VTEC,Third Party,Petrol,5,"51,050",First Owner,1198,Manual,2018,17.8,86.7,109,,50,5.44,DelhiNCR,UP16,Jun,2018
Maruti,Swift VXI,Comprehensive,Petrol,5,"19,791",First Owner,1197,Manual,2021,22.38,88.50,113,,20,6.9,DelhiNCR,DL12,Jun,2021
Jeep,Compass Model S 4X4 Diesel AT,Comprehensive,Diesel,5,"14,000",First Owner,1956,Automatic,2021,14.9,167.67,350,18,20,29.5,DelhiNCR,GJ01,Nov,2021
Maruti,Swift Dzire VXI,Third Party,Petrol,5,"35,004",First Owner,1197,Manual,2017,20.85,83.14,115,,60,5.7,DelhiNCR,DL5C,Jun,2017
Maruti,Vitara Brezza LXI,Comprehensive,Petrol,5,"4,100",First Owner,1462,Manual,2020,17.03,103.26,138,,30,7.25,DelhiNCR,HR29,Aug,2020
Hyundai,Grand i10 Asta Option,Comprehensive,Petrol,5,"53,118",Second Owner,1197,Manual,2013,18.9,82,114,14,75,3.25,DelhiNCR,DL10,Dec,2013
BMW,X7 xDrive 40i M Sport,Third Party insurance,Petrol,7,"10,000",First Owner,2998,Automatic,2021,10.54,335.25,450,21,20,1.2,DelhiNCR,TS10,Jul,2021
Audi,A6 35 TDI,Comprehensive,Diesel,5,"60,000",First Owner,1968,Automatic,2016,18.53,187.74,400,18,70,17.75,DelhiNCR,HR26,Jan,2016
Toyota,Innova Crysta 2.4 ZX 7 STR AT,Comprehensive,Diesel,7,"14,000",First Owner,2393,Automatic,2022,12,148,360,17,15,29.51,DelhiNCR,DL1C,Aug,2022
Honda,City i-VTEC S,Third Party insurance,Petrol,5,"30,200",First Owner,1497,Manual,2018,17.4,117.3,145,,50,7.45,DelhiNCR,HR26,Apr,2018
Toyota,Fortuner 2.5 4x2 AT TRD Sportivo,Comprehensive,Diesel,7,"1,35,000",First Owner,2494,Automatic,2015,12.55,142,343,17,75,15.5,DelhiNCR,DL10,Feb,2015
Mercedes-Benz,C-Class C 200 Avantgarde Edition C,Comprehensive,Petrol,5,"32,000",First Owner,1991,Automatic,2015,14.74,181.03,300,17,75,25.75,DelhiNCR,DN09,Mar,2015
Maruti,SX4 Green Vxi (CNG),Comprehensive,CNG,5,"75,000",Second Owner,1586,Manual,2013,21.4,103.3,145,15,75,3.25,DelhiNCR,DL9C,Nov,2013
Hyundai,EON Era Plus,Comprehensive,Petrol,5,"36,000",First Owner,814,Manual,2018,21.1,55.2,74.5,,50,3.5,DelhiNCR,DL5C,Mar,2018
Kia,Seltos GTX Plus DCT,Comprehensive,Petrol,5,"17,000",First Owner,1353,Automatic,2021,16.5,138.08,242,17,20,17.95,DelhiNCR,DL1T,Nov,2021
