Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Car Location
Hyundai,Venue S Plus,Third Party insurance,Petrol,5,"10,000",,First Owner,1197,Manual,2022,17.52,81.86,113.76,,,,15,8.2,Jaipur,
Toyota,Innova Crysta 2.4 GX MT BSIV,Comprehensive,Diesel,7,"20,000",HR51,First Owner,2393,Manual,2019,13.68,147.8,343,16,Jun,2019,40,18.9,Jaipur,
Skoda,Octavia Ambition 2.0 TDI MT,Comprehensive,Diesel,5,"90,120",RJ14,Second Owner,1968,Manual,2013,20.6,141,320,16,Nov,2013,75,5.85,Jaipur,
Ford,Endeavour 2.2 Titanium AT 4X2 Sunroof,Comprehensive,Diesel,7,"19,100",RJ14,First Owner,2198,Automatic,2019,12.62,158,385,18,Jun,2019,40,33.5,Jaipur,
Honda,City 1.5 S MT,Comprehensive,Petrol,5,"88,000",RJ14,Second Owner,1497,Manual,2011,17,"118PS at 6,600 ",146Nm at 4800 r,15,Jun,2011,75,3.7,Jaipur,
Toyota,Innova Crysta 2.8 ZX AT BSIV,Comprehensive,Diesel,7,"66,000",HR26,First Owner,2755,Automatic,2018,11.36,171.5,360,17,Sept,2018,50,20.5,Jaipur,
Maruti,Eeco CNG 5 Seater AC,Third Party insurance,CNG,5,"40,000",,Fourth Owner,1196,Manual,2021,20.88 ,61.68,85,,,,20,5.5,Jaipur,
Maruti,Swift Dzire VDI,N/a,Diesel,5,"92,000",,Second Owner,1248,Manual,2014,23.4,74,190,14,,,75,4.25,Jaipur,
Maruti,Alto LXi BSIII,Third Party,Petrol,5,"25,500",,First Owner,796,Manual,2010,19.7,46.3,62,12,,,75,1.48,Jaipur,
Toyota,Fortuner Legender 4x2 AT,Comprehensive,Diesel,7,"25,000",UP16,First Owner,2755,Automatic,2021,,201.15,500,18,Jun,2021,20,46.0,Jaipur,
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"23,935",RJ14,First Owner,998,Manual,2016,20.51,67.04,90,,Jun,2016,70,3.76,Jaipur,
Renault,KWID RXL BSIV,Third Party,Petrol,5,"31,809",RJ28,First Owner,799,Manual,2019,25.17,53.3,72,,Jun,2019,40,3.93,Jaipur,
Renault,KWID Climber 1.0 MT Opt,1,Petrol,5,"3,990",RJ45,First Owner,999,Manual,2020,21.74,67,91,,Jul,2020,30,5.25,Jaipur,
Mercedes-Benz,C-Class Progressive C 200,Comprehensive,Petrol,5,"20,000",UP14,First Owner,1950,Automatic,2020,11.9,201.15,280,17,Nov,2020,30,45.0,Jaipur,
Maruti,Baleno Delta,Third Party,Petrol,5,"20,813",RJ18,First Owner,1197,Manual,2019,21.01,81.80,113,,Jun,2019,40,7.11,Jaipur,
Maruti,SX4 S Cross Sigma,Third Party,Petrol,5,"16,007",RJ45,First Owner,1462,Manual,2020,18.55,103.25,138,,Jun,2020,30,8.58,Jaipur,
Hyundai,Santro Asta BSIV,Comprehensive,Petrol,5,"27,134",RJ36,Second Owner,1086,Manual,2019,20.3,68,99,,Jun,2019,40,5.35,Jaipur,
Mercedes-Benz,E-Class E250 Edition E,Third Party insurance,Diesel,5,"84,000",UK07,Second Owner,2143,Automatic,2017,15,204,500,17,Jan,2017,60,21.0,Jaipur,
Maruti,Celerio X ZXI BSIV,Third Party,Petrol,5,"60,649",RJ29,First Owner,998,Manual,2018,21.63,67,90,,Jun,2018,50,4.77,Jaipur,
Hyundai,EON Magna Plus,Comprehensive,Petrol,5,"43,564",,First Owner,814,Manual,2016,21.1,55.2,74.5,,,,70,3.5,Jaipur,
Ford,Figo Diesel ZXI,Third Party insurance,Diesel,5,"1,20,000",,First Owner,1399,Manual,2011,20,68,160,14,,,75,1.8,Jaipur,
Mercedes-Benz,C-Class Progressive C 220d,Comprehensive,Diesel,5,"75,000",UP32,First Owner,1950,Automatic,2020,12.6,194,400,17,Feb,2020,30,38.0,Jaipur,
Renault,KWID RXT Optional,Comprehensive,Petrol,5,"54,500",RJ18,First Owner,799,Manual,2018,25.17,53.3,72,,Apr,2018,50,3.25,Jaipur,
Toyota,Fortuner 4x2 AT,Comprehensive,Diesel,7,"1,74,000",RJ18,Third Owner,2982,Automatic,2014,12.55,168.5,360,17,Nov,2014,75,14.0,Jaipur,
Maruti,Wagon R VXI BS IV,Third Party insurance,Petrol,5,"90,000",,Third Owner,998,Manual,2007,18.9,67.1,90,14,,,75,1.35,Jaipur,
Toyota,Innova Crysta 2.4 GX 7 STR,Comprehensive,Diesel,7,"22,000",DL1C,First Owner,2393,Manual,2022,12,148,343,16,Mar,2022,15,21.5,Jaipur,
Hyundai,i20 Asta 1.2,Comprehensive,Petrol,5,"74,000",RJ14,Second Owner,1197,Manual,2014,18.6,81.83,114.7,16,Sept,2014,75,4.9,Jaipur,
Maruti,Swift Dzire VDI,Third Party insurance,Diesel,5,"1,10,000",,Second Owner,1248,Manual,2013,23.4,74,190,14,,,75,4.4,Jaipur,
Hyundai,i20 Sportz Turbo iMT,Third Party insurance,Petrol,5,"15,000",,First Owner,998,Manual,2021,20,118.36,171.62,,,,20,8.0,Jaipur,
Toyota,Fortuner 2.5 4x2 AT TRD Sportivo,Comprehensive,Diesel,7,"1,30,000",HR26,First Owner,2494,Automatic,2015,12.55,142,343,17,Jul,2015,75,16.5,Jaipur,
Hyundai,Verna VTVT 1.6 AT SX Plus,Comprehensive,Petrol,5,"15,419",RJ44,Second Owner,1591,Automatic,2019,17,121.3,151,16,Jun,2019,40,10.21,Jaipur,
Maruti,Alto 800 VXI,Third Party,Petrol,5,"37,977",RJ45,First Owner,796,Manual,2020,22.05,47.33,69,,Jun,2020,30,3.99,Jaipur,
Maruti,Swift VXI,Comprehensive,Petrol,5,"50,348",RJ02,First Owner,1197,Manual,2020,21.21,81.80,113,,Jun,2020,30,6.49,Jaipur,
Audi,Q7 3.0 TDI Quattro Premium Plus,Comprehensive,Diesel,7,"69,000",HR26,First Owner,2967,Automatic,2014,12.07,241.4,550,18,Apr,2014,75,19.5,Jaipur,
Maruti,Swift VXI,Third Party,Petrol,5,"44,589",RJ45,First Owner,1197,Manual,2018,21.21,81.80,113,,Jun,2018,50,6.13,Jaipur,
Maruti,Baleno 1.2 CVT Alpha,Third Party,Petrol,5,"35,119",RJ45,First Owner,1197,Automatic,2018,21.4,83.1,115,16,Jun,2018,50,7.69,Jaipur,
Maruti,Celerio X ZXI BSIV,Third Party,Petrol,5,"53,878",RJ29,First Owner,998,Manual,2018,21.63,67,90,,Jun,2018,50,4.44,Jaipur,
Audi,Q3 35 TDI Quattro Premium Plus,Comprehensive,Diesel,5,"75,000",HR26,First Owner,1968,Automatic,2014,15.17,181,380,18,Dec,2014,75,13.0,Jaipur,
Renault,KWID 1.0 RXT,Third Party insurance,Petrol,5,"45,377",RJ45,First Owner,999,Manual,2018,23.01,67,91,,May,2018,50,4.1,Jaipur,
Maruti,Wagon R LXI BSII,Third Party insurance,Petrol,5,"1,20,000",,Second Owner,998,Manual,2005,18.9,67.1,90,13,,,75,1.25,Jaipur,
Maruti,Wagon R LXI BSIII,Third Party insurance,Petrol,5,"1,65,000",,Second Owner,1061,Manual,2006,14,,8,,,,75,1.35,Jaipur,
Maruti,Swift VXI,Comprehensive,Petrol,5,"58,000",RJ02,First Owner,1197,Manual,2018,21.21,81.80,113,,Jun,2018,50,5.9,Jaipur,
Maruti,Celerio VXI,Available,Petrol,5,"20,000",,First Owner,998,Manual,2022,25.24,65.71,89,,,,15,5.2,Jaipur,
Tata,Hexa XT,Comprehensive,Diesel,7,"38,000",UP16,First Owner,2179,Manual,2018,17.6,153.86,400,17,Jul,2018,50,12.0,Jaipur,
Maruti,Vitara Brezza VDi,Comprehensive,Diesel,5,"45,800",RJ45,First Owner,1248,Manual,2018,24.3,88.5,200,,Feb,2018,50,8.0,Jaipur,
Volkswagen,Polo 1.5 TDI Highline,Comprehensive,Diesel,5,"55,700",RJ06,Second Owner,1498,Manual,2015,20.14,88,230,15,Sept,2015,75,4.9,Jaipur,
Volvo,XC60 Inscription D5,Third Party insurance,Diesel,5,"56,000",UP32,Second Owner,1969,Automatic,2020,11.2,231.78,480,19,Jan,2020,30,45.5,Jaipur,
Maruti,Celerio X ZXI BSIV,Third Party,Petrol,5,"32,529",RJ45,Second Owner,998,Manual,2018,21.63,67,90,,Jun,2018,50,4.86,Jaipur,
Maruti,Swift VXI,Third Party,Petrol,5,"83,083",RJ45,First Owner,1197,Manual,2013,18.6,85.8,114,14,Jun,2013,75,3.72,Jaipur,
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"35,588",RJ02,First Owner,998,Manual,2018,20.51,67.04,90,,Jun,2018,50,4.15,Jaipur,
Land,Rover Discovery Sport TD4 SE 7S,Comprehensive,Diesel,7,"67,000",UK07,First Owner,2179,Automatic,2016,12.83,147.5,400,17,May,2016,70,24.35,Jaipur,
Maruti,Alto 800 VXI,Comprehensive,Petrol,5,"24,308",RJ45,First Owner,796,Manual,2020,22.05,47.33,69,,Jun,2020,30,4.11,Jaipur,
Volkswagen,Ameo 1.2 MPI Highline Plus,Third Party,Petrol,5,"81,270",RJ45,First Owner,1198,Manual,2017,17,73.75,110,16,Jun,2017,60,5.01,Jaipur,
Honda,WR-V i-VTEC VX,Third Party,Petrol,5,"33,658",RJ45,First Owner,1199,Manual,2018,17.5,88.7,110,16,Jun,2018,50,6.71,Jaipur,
Toyota,Innova Crysta 2.4 VX MT,Comprehensive,Diesel,7,"85,000",UP16,First Owner,2393,Manual,2017,13.68,147.51,343,16,Jul,2017,60,15.9,Jaipur,
Tata,Harrier XZ BSIV,,Diesel,5,"45,261",RJ45,First Owner,1956,Manual,2019,17,138.1,350,17,Aug,2019,40,14.9,Jaipur,
Hyundai,i20 Magna Plus,Comprehensive,Petrol,5,"35,340",RJ40,First Owner,1197,Manual,2018,18.6,81.86,117,,Jul,2018,50,6.1,Jaipur,
Toyota,Innova 2.5 EV Diesel PS 8 Seater BSIII,Third Party insurance,Diesel,8,"1,60,000",,First Owner,2494,Manual,2013,12.99,100.57,200,,,,75,6.0,Jaipur,
Toyota,Innova Crysta 2.4 VX MT,Comprehensive,Diesel,7,"59,000",DL10,First Owner,2393,Manual,2018,13.68,147.51,343,16,Jun,2018,50,18.0,Jaipur,
Maruti,Eeco 5 Seater AC BSIV,Third Party insurance,Petrol,5,"1,20,000",,Second Owner,1196,Manual,2011,15.37,73,101,,,,75,1.7,Jaipur,
Mahindra,Bolero Power Plus SLX,Third Party insurance,Diesel,7,"50,000",,First Owner,1493,Manual,2017,16.5,70,195,,,,60,6.0,Jaipur,
Mahindra,XUV500 W7 BSIV,Third Party insurance,Diesel,7,"50,000",,First Owner,2179,Manual,2019,15.1,152.87,360,,,,40,13.5,Jaipur,
Toyota,Fortuner 2.8 2WD MT,Comprehensive,Diesel,7,"50,000",UP16,First Owner,2755,Manual,2018,14.24,174.5,420,17,Sept,2018,50,29.0,Jaipur,
Hyundai,Elantra 2.0 SX Option AT,Comprehensive,Petrol,5,"90,000",RJ38,First Owner,1999,Automatic,2017,14.62,149.92,192.2,16,Jun,2017,60,9.9,Jaipur,
Maruti,Swift VDI Optional,Third Party insurance,Diesel,5,"60,000",,Third Owner,1248,Manual,2017,25.2,74,190,,,,60,5.6,Jaipur,
Mahindra,Bolero SLX,Third Party insurance,Diesel,7,"1,47,000",,Third Owner,2523,Manual,2015,15.96,62.1,195,,,,75,5.05,Jaipur,
Toyota,Fortuner 2.8 2WD MT,Comprehensive,Diesel,7,"60,000",UP16,First Owner,2755,Manual,2020,14.24,174.5,420,17,Jun,2020,30,35.0,Jaipur,
Honda,Amaze S Petrol BSIV,Third Party,Petrol,5,"80,112",RJ05,First Owner,1199,Manual,2019,19.5,88.76,110,,Jun,2019,40,6.41,Jaipur,
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Third Party,Petrol,5,"24,874",RJ45,Second Owner,1197,Manual,2019,18.9,81.86,113.75,,Jun,2019,40,5.22,Jaipur,
Datsun,RediGO T Option,Zero Dep,Petrol,5,"9,583",RJ45,First Owner,799,Manual,2021,20.71,53.64,72,,Jun,2021,20,4.44,Jaipur,
Toyota,Fortuner 4x4 MT TRD Sportivo,Comprehensive,Diesel,7,"80,000",UP16,First Owner,2982,Manual,2015,12.55,169,343,17,Jun,2015,75,16.9,Jaipur,
Maruti,Baleno 1.2 Delta,Third Party,Petrol,5,"64,866",RJ46,Second Owner,1197,Manual,2019,21.4,83.1,115,,Jun,2019,40,6.4,Jaipur,
Hyundai,i10 Sportz 1.1L,Third Party,Petrol,5,"70,546",RJ14,First Owner,1086,Manual,2016,19.81,68.05,99.04,,Jun,2016,70,4.07,Jaipur,
Maruti,Baleno Delta,Third Party,Petrol,5,"34,377",RJ45,First Owner,1197,Manual,2019,21.01,81.80,113,,Jun,2019,40,6.91,Jaipur,
Land,Rover Range Rover Velar P250 R-Dynamic HSE,Third Party insurance,Petrol,5,"29,000",HR26,First Owner,1997,Automatic,2020,15.8,247,365,19,Jun,2020,30,85.0,Jaipur,
Honda,Brio S MT,Third Party,Petrol,5,"37,865",RJ07,Second Owner,1198,Manual,2016,19.4,86.8,109,,Jun,2016,70,4.07,Jaipur,
Chevrolet,Sail LS ABS,Third Party insurance,Diesel,5,"70,000",,First Owner,1248,Manual,2014,22.1,74,190,,,,75,2.5,Jaipur,
Maruti,Baleno 1.2 Zeta,Third Party insurance,Petrol,5,"80,000",,Second Owner,1197,Manual,2019,21.4,83.1,115,16,,,40,5.8,Jaipur,
Audi,A4 2.0 TDI Premium Plus,Comprehensive,Diesel,5,"55,000",HR13,First Owner,1968,Automatic,2015,17.11,174.33,380,17,Mar,2015,75,14.9,Jaipur,
Maruti,800 Std,Available,Petrol,4,"1,00,000",,Second Owner,796,Manual,2003,16.1,37,59,12,,,75,0.45,Jaipur,
Maruti,Grand Vitara AT,Third Party insurance,Petrol,5,"1,10,000",,Second Owner,1995,Automatic,2007,9.7,163.5 ,225 ,16,,,75,3.7,Jaipur,
Mahindra,Scorpio S10 8 Seater,Available,Diesel,8,"1,10,000",,Third Owner,2179,Manual,2015,15.4,120,280,17,,,75,9.0,Jaipur,
Honda,City i-VTEC V,Comprehensive,Petrol,5,"16,000",HR98,First Owner,1497,Manual,2021,17.4,117.6,145,15,Oct,2021,20,11.9,Jaipur,
Maruti,Swift VDI BSIV,Third Party insurance,Diesel,5,"1,20,000",,Third Owner,1248,Manual,2014,25.2,74,190,,,,75,4.1,Jaipur,
Maruti,Ertiga VDI,Third Party insurance,Diesel,7,"1,80,000",,First Owner,1248,Manual,2015,20.77,88.76,200,,,,75,5.6,Jaipur,
Honda,City 1.5 V AT,Third Party insurance,Petrol,5,"80,000",,First Owner,1497,Automatic,2008,16.8,"118PS at 6,600 ",146Nm at 4800 r,15,,,75,2.5,Jaipur,
Tata,New Safari XZA Plus 6 Str AT,Comprehensive,Diesel,6,"15,000",HR26,First Owner,1956,Automatic,2021,14.08,167.67,350,18,Jun,2021,20,21.9,Jaipur,
Hyundai,Grand i10 Nios Asta,Comprehensive,Petrol,5,"66,808",RJ45,Second Owner,1197,Manual,2019,20.7,81.86,113.8,15,Jun,2019,40,5.89,Jaipur,
Maruti,Wagon R VXI,Third Party,Petrol,5,"75,545",RJ02,First Owner,998,Manual,2019,21.79,67.05,90,,Jun,2019,40,4.67,Jaipur,
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Third Party,Petrol,5,"27,574",RJ45,First Owner,1197,Manual,2020,18.9,81.86,113.75,,Jun,2020,30,5.86,Jaipur,
Toyota,Innova Crysta 2.4 G MT,Comprehensive,Diesel,7,"35,000",UP16,First Owner,2393,Manual,2017,13.68,147.51,343,16,May,2017,60,16.5,Jaipur,
Maruti,Ciaz 1.4 S,Third Party,Petrol,5,"74,528",RJ07,First Owner,1373,Manual,2017,20.73,91.1,130,16,Jun,2017,60,7.55,Jaipur,
Maruti,Alto 800 LXI CNG,Third Party,CNG,5,"63,482",RJ05,First Owner,796,Manual,2019,33,47.3,69,,Jun,2019,40,3.84,Jaipur,
MG,Hector Sharp Diesel MT BSIV,Comprehensive,Diesel,5,"40,492",RJ45,First Owner,1956,Manual,2021,17.41,167.68,350,R17,Apr,2021,20,17.5,Jaipur,
BMW,X5 xDrive 30d Expedition,Comprehensive,Diesel,5,"70,000",DL6C,First Owner,2993,Automatic,2015,15.97,258,560,18,May,2015,75,32.0,Jaipur,
Hyundai,Grand i10 1.2 Kappa Magna BSIV,Comprehensive,Petrol,5,"96,494",RJ45,First Owner,1197,Manual,2018,18.9,81.86,113.75,,Jun,2018,50,4.54,Jaipur,
Maruti,Swift Dzire VDi,Comprehensive,Diesel,5,"55,200",RJ27,First Owner,1248,Manual,2015,19.3,73.9,190,14,Aug,2015,75,5.7,Jaipur,
Toyota,Fortuner 4x4 MT,Third Party insurance,Diesel,7,"1,80,000",,First Owner,2982,Manual,2015,12.55,168.5,343,17,,,75,14.0,Jaipur,
Tata,Nexon XZA Plus AMT S,Comprehensive,Petrol,5,"20,000",HR51,First Owner,1199,Automatic,2021,16.35,118.36,170,16,Dec,2021,20,11.75,Jaipur,
Mahindra,XUV500 W10 2WD,Comprehensive,Diesel,7,"72,580",RJ25,First Owner,2179,Manual,2017,16,140,330,17,Feb,2017,60,10.5,Jaipur,
Toyota,Fortuner 4x2 4 Speed AT,Third Party insurance,Diesel,7,"84,000",N/A,Fourth Owner,2982,Automatic,2012,11.5,169,343,17,,,75,11.0,Jaipur,
Hyundai,Verna 1.6 CRDi AT S,Third Party insurance,Diesel,5,"1,10,000",,Second Owner,1582,Automatic,2017,19.08,126.2,259.9,15,,,60,6.5,Jaipur,
Mercedes-Benz,CLA 200 CGI Sport,Third Party insurance,Petrol,5,"42,000",DL9C,Third Owner,1991,Automatic,2016,15.04,183,300,17,Mar,2016,70,22.0,Jaipur,
Honda,City i VTEC V,Comprehensive,Petrol,5,"70,000",RJ40,First Owner,1497,Manual,2017,17.8,117.3,145,15,Feb,2017,60,7.5,Jaipur,
Mahindra,Bolero SLX,Comprehensive,Diesel,7,"66,000",RJ18,First Owner,2523,Manual,2018,15.96,62.1,195,,Dec,2018,50,8.5,Jaipur,
Nissan,Magnite Turbo CVT XV,Available,Petrol,5,"7,000",,First Owner,999,Automatic,2021,17.4,98.63,152,16,,,20,8.5,Jaipur,
Toyota,Corolla Altis D-4D J,Comprehensive,Diesel,5,"80,000",UP16,First Owner,1364,Manual,2016,21.43,87.2,205,,Sept,2016,70,8.9,Jaipur,
Maruti,S-Presso VXI Plus 2019-2022,Third Party insurance,Petrol,5,"68,209",RJ45,First Owner,998,Manual,2020,21.7,65.71,89,,Jun,2020,30,4.41,Jaipur,"Jaipur, Rajasthan..."
Maruti,Baleno 1.2 Alpha,1,Petrol,5,"49,500",RJ45,First Owner,1197,Manual,2018,21.4,83.1,115,16,Dec,2018,50,6.99,Jaipur,
Honda,Jazz 1.2 VX i VTEC,Third Party,Petrol,5,"49,392",RJ45,First Owner,1199,Manual,2018,18.7,88.7,110,15,Jun,2018,50,5.44,Jaipur,
BMW,5 Series 523i Sedan,Comprehensive,Petrol,5,"60,000",HR26,First Owner,2497,Automatic,2010,10.8,150 kW at 6300 ,250 Nm at 2750 r,17,Jul,2010,75,10.5,Jaipur,
Maruti,Wagon R VXI,Third Party,Petrol,5,"52,107",RJ45,First Owner,998,Manual,2020,21.79,67.05,90,,Jun,2020,30,5.48,Jaipur,
Renault,KWID RXT Optional,2,Petrol,5,"29,771",RJ45,First Owner,799,Manual,2018,25.17,53.3,72,,Aug,2018,50,3.9,Jaipur,
Honda,WR-V i-VTEC VX,Third Party,Petrol,5,"47,871",RJ45,Third Owner,1199,Manual,2018,17.5,88.7,110,16,Jun,2018,50,7.09,Jaipur,
Mitsubishi,Pajero Sport 4X4,Comprehensive,Diesel,7,"85,000",UP16,First Owner,2477,Manual,2014,13.5,175.56,400,17,Nov,2014,75,9.9,Jaipur,
Maruti,Alto 800 LXI,Third Party insurance,Petrol,5,"45,212",RJ14,Second Owner,796,Manual,2017,22.05,47.33,69,,Apr,2017,60,3.11,Jaipur,"Jaipur, Rajasthan..."
Maruti,Swift VDI,Third Party insurance,Diesel,5,"1,20,000",N/A,Second Owner,1248,Manual,2013,22.9,74,190,14,,,75,3.7,Jaipur,
Maruti,Swift Dzire VXI,Third Party insurance,Petrol,5,"90,000",,First Owner,1197,Manual,2017,20.85,83.14,115,,,,60,5.4,Jaipur,
Ford,Endeavour 3.2 Titanium AT 4X4,Comprehensive,Diesel,7,"59,000",HP52,First Owner,3198,Automatic,2019,10.91,197,470,18,Aug,2019,40,30.0,Jaipur,
Renault,Duster 110PS Diesel RxL,Third Party insurance,Diesel,5,"90,000",,Third Owner,1461,Manual,2012,19.01,108.45,248,16,,,75,4.0,Jaipur,
Maruti,SX4 S Cross DDiS 320 Alpha,Third Party insurance,Diesel,5,"1,35,000",,First Owner,1598,Manual,2017,22.7,118,320,16,,,60,7.35,Jaipur,
Tata,Indigo GLS,Third Party insurance,Petrol,5,"80,000",N/A,Fourth Owner,1193,Manual,2017,15.64,64.1,100,,,,60,2.03,Jaipur,
Ford,Figo Diesel Titanium,Third Party insurance,Diesel,5,"85,000",DL10,First Owner,1399,Manual,2014,20,68.05,160,14,Feb,2014,75,2.9,Jaipur,
Tata,Altroz XZA Plus DCT,Third Party insurance,Petrol,5,"15,000",,First Owner,1199,Automatic,2022,18.5,86.83,113,16,,,15,9.5,Jaipur,
Mahindra,Scorpio S11 BSIV,Third Party insurance,Diesel,7,"50,000",,First Owner,2179,Manual,2019,16.36,140,320,17,,,40,15.15,Jaipur,
