Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Depreciation Rate (in %),Price (in lacs),City,RTO,Registration Month,Registration Year
Maruti,Alto 800 LXI,Third Party,Petrol,5,"12,577",First Owner,796,Manual,2018,24.7,47.3,69,,50,3.31,Mumbai,MH04,Jun,2018
Maruti,S-Presso VXI CNG 2019-2020,Third Party,CNG,4,"18,982",First Owner,998,Manual,2020,31.2,58.33,78,,30,5.32,Mumbai,MH46,Jun,2020
Maruti,S-Presso VXI Plus 2019-2022,Third Party,Petrol,5,"15,186",First Owner,998,Manual,2019,21.7,65.71,89,,40,4.49,Mumbai,MH02,Jun,2019
Toyota,Fortuner 4x4 MT,Comprehensive,Diesel,7,"67,000",Second Owner,2982,Manual,2014,12.55,168.5,343,17,75,15.85,Mumbai,MH01,May,2014
Toyota,Urban cruiser High,Comprehensive,Petrol,5,"18,895",First Owner,1462,Manual,2021,17.03,103.26,138,16,20,9.21,Mumbai,MH04,Jun,2021
Maruti,Alto 800 LXI,Third Party,Petrol,5,"23,487",First Owner,796,Manual,2017,24.7,47.3,69,,60,2.8,Mumbai,MH43,Jun,2017
Hyundai,Grand i10 Sportz,Third Party,Petrol,5,"25,299",First Owner,1197,Manual,2015,18.9,82,114,,75,4.08,Mumbai,MH02,Jun,2015
Skoda,Kodiaq 2.0 TDI Laurin Klement,Comprehensive,Diesel,7,"47,000",First Owner,1968,Automatic,2019,16.25,148,340,18,40,27.75,Mumbai,MH02,Aug,2019
Maruti,Alto 800 VXI,Third Party,Petrol,5,"14,513",First Owner,796,Manual,2021,22.05,47.33,69,,20,3.98,Mumbai,MH02,Jun,2021
Ford,Ecosport 1.5 Petrol Titanium Plus AT,Third Party insurance,Petrol,5,"37,000",First Owner,1496,Automatic,2017,14.7,120.69,149,R16,60,7.45,Mumbai,MH02,Apr,2017
Kia,Sonet GTX Plus Turbo iMT,Third Party,Petrol,5,"28,000",First Owner,998,Manual,2020,18.2,118.36,172,16,30,11.99,Mumbai,MH43,Dec,2020
Mercedes-Benz,GLC 220d 4MATIC Sport,Comprehensive,Diesel,5,"38,000",Second Owner,2143,Automatic,2018,17.9,170,400,18,50,39.5,Mumbai,MH01,Jul,2018
Hyundai,Verna VTVT 1.6 AT SX Option,Third Party insurance,Petrol,5,"5,500",First Owner,1591,Automatic,2019,17,121.3,151,16,40,11.71,Mumbai,MH04,Jul,2019
Ford,Ecosport 1.5 Petrol Titanium BSIV,Third Party insurance,Petrol,5,"35,000",First Owner,1497,Manual,2018,17,121.31,150,16,50,8.31,Mumbai,MH12,Nov,2018
Tata,Harrier XZA Plus Dark Edition AT 2020-2022,Third Party,Diesel,5,"25,000",First Owner,1956,Automatic,2020,14.6,167.67,350,R18,30,21.99,Mumbai,MH47,Sept,2020
Maruti,SX4 Green Vxi (CNG),Comprehensive,CNG,5,"72,000",First Owner,1586,Manual,2012,21.4,103.3,145,15,75,3.41,Mumbai,MH01,Jan,2012
Hyundai,i20 1.2 Asta,Third Party insurance,Petrol,5,"28,000",First Owner,1197,Manual,2018,18.6,81.83,114.7,16,50,6.99,Mumbai,MH02,Jul,2018
Maruti,XL6 Alpha,Third Party insurance,Petrol,6,"27,000",Second Owner,1462,Manual,2020,19.01,103.2,138,R15,30,9.75,Mumbai,MH05,Jan,2020
MG,Hector Sharp DCT,Comprehensive,Petrol,5,"29,000",First Owner,1451,Automatic,2020,,141,250,R18,30,15.95,Mumbai,MH02,Nov,2020
Audi,Q3 2.0 TDI,Comprehensive,Diesel,5,"60,000",Third Owner,1968,Automatic,2014,15.73,174.33,380,16,75,13.35,Mumbai,MH02,Apr,2014
Maruti,S-Presso LXI CNG 2019-2022,Comprehensive,CNG,4,"31,920",First Owner,998,Manual,2021,31.2,58.33,78,,20,5.34,Mumbai,MH01,Jun,2021
Maruti,S-Presso VXI Plus 2019-2022,Third Party,Petrol,5,"14,191",First Owner,998,Manual,2019,21.7,65.71,89,,40,4.15,Mumbai,MH04,Jun,2019
Maruti,S-Presso LXI CNG 2019-2022,Third Party,CNG,4,"4,156",First Owner,998,Manual,2021,31.2,58.33,78,,20,5.54,Mumbai,MH02,Jun,2021
Land,Rover Range Rover Evoque 2.0 Si4 SE,Comprehensive,Petrol,5,"31,159",First Owner,1999,Automatic,2018,11.56,237,340,17,50,42.5,Mumbai,MH43,Sept,2018
Hyundai,i20 1.2 Asta,Comprehensive,Petrol,5,"18,800",First Owner,1197,Manual,2018,18.6,81.83,114.7,16,50,6.63,Mumbai,MH05,Jun,2018
Maruti,Celerio VXI CNG BSIV,Third Party,CNG,5,"67,579",First Owner,998,Manual,2018,31.79,58.33,78,,50,4.71,Mumbai,MH04,Jun,2018
Toyota,Corolla Altis 1.8 G CVT,Comprehensive,Petrol,5,"70,000",First Owner,1798,Automatic,2017,14.28,138.03,173,16,60,10.0,Mumbai,MH02,Mar,2017
Maruti,S-Presso VXI Plus AT 2019-2022,Third Party,Petrol,5,"24,064",First Owner,998,Automatic,2020,21.7,67.05,90,,30,4.63,Mumbai,MH04,Jun,2020
Hyundai,i20 Asta,Comprehensive,Petrol,5,"75,000",First Owner,1197,Manual,2010,17,80 PS at 5200 ,"11.4 kgm at 4,000 r",14,75,2.45,Mumbai,MH04,Sept,2010
Toyota,Innova 2.5 G4 Diesel 8-seater,Comprehensive,Diesel,8,"1,35,000",Second Owner,2494,Manual,2007,12.8,,20,15,75,3.45,Mumbai,MH02,Oct,2007
Porsche,Cayenne S Hybrid,Comprehensive,Petrol,5,"81,000",Second Owner,2995,Automatic,2012,13.2,380,580,18,75,32.0,Mumbai,MH07,Dec,2012
Mahindra,XUV500 W10 2WD,Comprehensive,Diesel,7,"36,550",Second Owner,2179,Manual,2015,16,140,330,17,75,9.0,Mumbai,MH47,Oct,2015
Mahindra,Scorpio M2DI,Comprehensive,Diesel,5,"84,000",Second Owner,2179,Manual,2013,13.5,115,277.5,16,75,4.25,Mumbai,MH06,Sept,2013
Toyota,Innova Crysta 2.4 G MT,Third Party insurance,Diesel,7,"59,000",First Owner,2393,Manual,2017,13.68,147.51,343,16,60,16.68,Mumbai,MH04,Apr,2017
BMW,3 Series 320d Prestige,Comprehensive,Diesel,5,"65,000",Third Owner,1995,Automatic,2014,18.88,184,380,16,75,12.75,Mumbai,MH04,Jun,2014
Hyundai,i10 Magna,Comprehensive,Petrol,5,"41,000",First Owner,1197,Manual,2012,20.36,78.9,111.7,13,75,2.61,Mumbai,MH04,Oct,2012
Maruti,Celerio ZXI AMT BSIV,Comprehensive,Petrol,5,"35,100",First Owner,998,Automatic,2017,23.1,67.04,90,,60,4.85,Mumbai,MH46,Oct,2017
Maruti,Ertiga ZDI Plus,Comprehensive,Diesel,7,"77,679",First Owner,1248,Manual,2019,25.47,88.50,200,,40,12.75,Mumbai,MH05,Oct,2019
Mercedes-Benz,GLA Class 200 CDI 4MATIC,Comprehensive,Diesel,5,"56,000",First Owner,2143,Automatic,2016,13,134.1,300,17,70,20.0,Mumbai,MH01,Jun,2016
Maruti,S-Presso VXI Plus 2019-2022,Third Party,Petrol,5,"15,655",First Owner,998,Manual,2019,21.7,65.71,89,,40,4.31,Mumbai,MH01,Jun,2019
Maruti,S-Presso LXI Opt CNG,Third Party,CNG,4,"24,088",First Owner,998,Manual,2021,,58.33,78,,20,5.32,Mumbai,MH46,Jun,2021
Maruti,Wagon R LXI CNG,Third Party,CNG,5,"53,805",Second Owner,998,Manual,2012,26.2,58.2,77,13,75,2.89,Mumbai,MH01,Jun,2012
BMW,5 Series 520d Luxury Line,Comprehensive,Diesel,5,"23,000",Second Owner,1995,Automatic,2019,20.37,187.74,400,R18,40,46.5,Mumbai,MH01,May,2019
Volkswagen,Ameo 1.2 MPI Highline,Comprehensive,Petrol,5,"45,458",Second Owner,1198,Manual,2016,17,73.75,110,15,70,4.74,Mumbai,MH47,Jun,2016
Honda,City i-VTEC CVT V,Third Party insurance,Petrol,5,"12,426",First Owner,1497,Automatic,2017,18,117.6,145,15,60,8.37,Mumbai,MH02,Dec,2017
Maruti,Baleno Zeta,Third Party insurance,Petrol,5,"12,277",First Owner,1197,Manual,2020,21.01,81.80,113,R16,30,6.99,Mumbai,MH02,Oct,2020
Maruti,Ritz VXi,Comprehensive,Petrol,5,"13,568",First Owner,1197,Manual,2014,18.5,85.80,114,,75,3.43,Mumbai,MH04,Jun,2014
Skoda,Rapid 1.6 TDI Ambition,Third Party insurance,Diesel,5,"73,000",First Owner,1598,Manual,2013,20.5,103.5,250,14,75,3.7,Mumbai,MH01,Jul,2013
Honda,Jazz 1.2 V i VTEC,Comprehensive,Petrol,5,"52,250",First Owner,1199,Manual,2015,18.7,88.7,110,15,75,4.75,Mumbai,MH46,Aug,2015
Mercedes-Benz,GLS 350d 4MATIC,Comprehensive,Diesel,7,"25,000",First Owner,2987,Automatic,2019,11,258,620,20,40,82.5,Mumbai,MH04,Jul,2019
Nissan,Sunny XV,Comprehensive,Petrol,5,"98,000",First Owner,1498,Manual,2014,16.95,97.7,134,15,75,3.28,Mumbai,MH01,Sept,2014
BMW,3 Series 320d Luxury Line Plus,Third Party insurance,Diesel,5,"42,155",First Owner,1995,Automatic,2017,22.69,190,400,17,60,23.25,Mumbai,MH43,Apr,2017
Renault,Duster 110PS Diesel RxZ AMT,Comprehensive,Diesel,5,"71,000",Second Owner,1461,Automatic,2017,19.6,108.45,245,16,60,7.15,Mumbai,MH01,Dec,2017
Mercedes-Benz,GLA Class 200 Sport,Comprehensive,Petrol,5,"71,000",Second Owner,1991,Automatic,2016,13.7,183,300,18,70,18.5,Mumbai,MH03,Mar,2016
Maruti,Baleno 1.2 Zeta,Third Party insurance,Petrol,5,"60,000",First Owner,1197,Manual,2016,21.4,83.1,115,16,70,5.6,Mumbai,MH46,Oct,2016
Maruti,Wagon R LXI CNG,Third Party insurance,CNG,5,"88,000",Second Owner,998,Manual,2015,26.6,58.16,77,,75,3.9,Mumbai,MH02,Oct,2015
Honda,City i VTEC CVT VX,Third Party insurance,Petrol,5,"69,000",First Owner,1497,Automatic,2015,18,117.3,145,15,75,6.95,Mumbai,MH04,Jul,2015
Maruti,Wagon R VXI AMT 1.2,Comprehensive,Petrol,5,"58,000",Second Owner,1197,Automatic,2016,20.52,81.80,113,,70,3.45,Mumbai,MH02,Jun,2016
Honda,Brio V MT,Third Party,Petrol,5,"36,602",Second Owner,1198,Manual,2012,19.4,86.8,109,14,75,2.83,Mumbai,MH02,Jun,2012
Hyundai,i10 Sportz 1.1L,Third Party,Petrol,5,"74,087",First Owner,1086,Manual,2013,19.81,68.05,99.04,,75,3.0,Mumbai,MH02,Jun,2013
Mercedes-Benz,E-Class E 200 CGI Avantgarde,Comprehensive,Petrol,5,"48,000",Second Owner,1796,Automatic,2011,12.3,185,285,17,75,10.74,Mumbai,MH02,Aug,2011
Maruti,Alto 800 VXI Plus,Third Party,Petrol,5,"21,951",First Owner,796,Manual,2020,22.05,47.33,69,,30,3.69,Mumbai,MH01,Jun,2020
Maruti,Alto 800 VXI,Third Party,Petrol,5,"17,622",First Owner,796,Manual,2018,24.7,47.3,69,,50,3.51,Mumbai,MH48,Jun,2018
Maruti,S-Presso VXI Opt CNG,Third Party,CNG,4,"40,791",First Owner,998,Manual,2020,,58.33,78,,30,5.05,Mumbai,MH05,Jun,2020
Mercedes-Benz,E-Class All-Terrain E 220 d,Comprehensive,Diesel,5,"24,400",First Owner,1950,Automatic,2018,12.6,191.76,400,19,50,48.5,Mumbai,MH02,Mar,2018
Maruti,Wagon R Stingray VXI,Comprehensive,Petrol,5,"51,392",First Owner,998,Manual,2013,20.51,67.04,90,14,75,3.3,Mumbai,MH02,Jun,2013
Tata,Nexon EV Prime XZ Plus,Third Party,Electric,5,"9,365",First Owner,0,Automatic,2020,,127,245,16,30,14.35,Mumbai,MH47,Nov,2020
Honda,City i VTEC CVT VX,Comprehensive,Petrol,5,"32,078",First Owner,1497,Automatic,2015,18,117.3,145,15,75,6.49,Mumbai,MH01,Aug,2015
Jaguar,XF 2.2 Litre Luxury,Third Party insurance,Diesel,5,"34,000",First Owner,2179,Automatic,2016,16.36,187.7,450,20,70,23.93,Mumbai,MH03,Feb,2016
Skoda,Kodiaq 2.0 TDI Laurin Klement,Comprehensive,Diesel,7,"47,000",First Owner,1968,Automatic,2020,16.25,148,340,18,30,32.99,Mumbai,MH01,May,2020
Maruti,Celerio ZXI,Comprehensive,Petrol,5,"20,000",Second Owner,998,Manual,2017,23.1,67.04,90,,60,3.85,Mumbai,MH01,May,2017
Hyundai,i20 Asta 1.2,Third Party insurance,Petrol,5,"52,000",First Owner,1197,Manual,2015,18.6,81.83,114.7,16,75,5.3,Mumbai,MH05,Oct,2015
BMW,5 Series 530d M Sport,Comprehensive,Diesel,5,"75,000",First Owner,2993,Automatic,2013,14.69,258,560,18,75,21.94,Mumbai,MH12,Feb,2013
Mahindra,XUV300 W8 Option,Third Party insurance,Petrol,5,"51,600",Second Owner,1197,Manual,2020,16.82,108.62,200,16,30,7.95,Mumbai,MH12,Mar,2020
Maruti,Ertiga VXI,Comprehensive,Petrol,7,"8,016",First Owner,1462,Manual,2019,19.01,103.26,138,,40,9.49,Mumbai,MH47,Jan,2019
Mercedes-Benz,C-Class C 220 CDI Avantgarde,Third Party insurance,Diesel,5,"74,800",Second Owner,2143,Automatic,2016,19.27,170,400,17,70,20.75,Mumbai,MH15,Nov,2016
Mercedes-Benz,C-Class C 220 CDI Avantgarde,Comprehensive,Diesel,5,"42,000",First Owner,2143,Automatic,2017,19.27,170,400,17,60,29.11,Mumbai,MH01,Nov,2017
Volkswagen,Polo Petrol Highline 1.2L,Third Party,Petrol,5,"61,480",Second Owner,1198,Manual,2012,16.47,73.9,110,15,75,3.15,Mumbai,MH02,Jun,2012
Honda,Brio S MT,Third Party,Petrol,5,"30,468",First Owner,1198,Manual,2016,19.4,86.8,109,,70,3.92,Mumbai,MH04,Jun,2016
Renault,Duster Petrol RXS CVT,Third Party,Petrol,5,"11,666",Second Owner,1498,Automatic,2018,14.99,104.5,142,,50,7.24,Mumbai,MH47,Jun,2018
Mercedes-Benz,GLC 220d 4MATIC Style,Comprehensive,Diesel,5,"27,000",First Owner,2143,Automatic,2018,17.9,170,400,18,50,42.5,Mumbai,MH01,Mar,2018
Hyundai,Grand i10 Asta,Third Party,Petrol,5,"31,774",First Owner,1197,Manual,2015,18.9,82,114,14,75,4.42,Mumbai,MH01,Jun,2015
Maruti,Ignis 1.2 AMT Delta BSIV,Third Party,Petrol,5,"44,121",First Owner,1197,Automatic,2018,20.89,81.80,113,,50,5.18,Mumbai,MH47,Jun,2018
Hyundai,i20 Magna 1.2,,Petrol,5,"20,000",First Owner,1197,Manual,2017,18.6,81.83,114.7,,60,5.91,Mumbai,MH05,Jan,2017
Mercedes-Benz,E-Class All-Terrain E 220 d,Comprehensive,Diesel,5,"17,000",First Owner,1950,Automatic,2018,12.6,191.76,400,19,50,48.5,Mumbai,MH02,Apr,2018
Hyundai,i10 Sportz AT,Third Party,Petrol,5,"28,334",First Owner,1197,Automatic,2013,16.95,78.9,111.8,13,75,3.47,Mumbai,MH02,Jun,2013
Mercedes-Benz,C-Class C 220 CDI Avantgarde,Third Party insurance,Diesel,5,"74,800",Second Owner,2143,Automatic,2016,19.27,170,400,17,70,20.75,Mumbai,MH14,Nov,2016
Mahindra,XUV300 W6 AMT Sunroof,Third Party,Petrol,5,"10,718",First Owner,1197,Automatic,2021,17,108.6,200,,20,10.25,Mumbai,MH48,Oct,2021
BMW,5 Series 520d Luxury Line,Comprehensive,Diesel,5,"10,000",First Owner,1995,Automatic,2021,20.37,187.74,400,R18,20,63.74,Mumbai,MH15,Jan,2021
Skoda,Superb Style 1.8 TSI AT,Third Party insurance,Petrol,5,"47,577",First Owner,1798,Automatic,2016,14.67,177.46,250,17,70,14.0,Mumbai,MH03,Jun,2016
Renault,Duster Petrol RXS CVT,Third Party insurance,Petrol,5,"27,097",Third Owner,1498,Automatic,2018,14.99,104.5,142,,50,5.7,Mumbai,MH02,Aug,2018
Ford,Endeavour 2.2 Titanium AT 4X2 Sunroof,Zero Dep,Diesel,7,"40,481",First Owner,2198,Automatic,2018,12.62,158,385,18,50,27.75,Mumbai,MH02,Aug,2018
Mercedes-Benz,GLE 350d,Comprehensive,Diesel,5,"46,000",First Owner,2987,Automatic,2016,11.57,254.79,620,19,70,34.25,Mumbai,MH01,Jun,2016
Jeep,Compass 1.4 Limited Plus,Comprehensive,Petrol,5,"18,000",First Owner,1368,Automatic,2019,14.1,160.77,250,18,40,17.5,Mumbai,MH01,May,2019
Hyundai,Verna 1.6 VTVT AT S,Comprehensive,Petrol,5,"62,174",First Owner,1591,Automatic,2016,17.01,121.3,154.9,15,70,6.14,Mumbai,MH02,Jun,2016
Tata,New Safari DICOR 2.2 EX 4x2,Third Party insurance,Diesel,7,"80,000",Second Owner,2179,Manual,2010,11.57,138.1,320,16,75,2.0,Mumbai,,Mar,2010
Mercedes-Benz,GLC 220d 4MATIC,Comprehensive,Diesel,5,"43,000",First Owner,1950,Automatic,2019,,194,400,19,40,47.75,Mumbai,MH03,Jul,2019
Maruti,Swift Dzire VDI,Third Party,Diesel,5,"40,101",First Owner,1248,Manual,2013,23.4,74,190,14,75,4.76,Mumbai,MH02,Jun,2013
Maruti,Swift Dzire VXI,Third Party,Petrol,5,"25,447",First Owner,1197,Manual,2020,22.41,88.50,113,,30,7.06,Mumbai,MH43,Jun,2020
Honda,Brio VX AT,Third Party,Petrol,5,"55,120",Second Owner,1198,Automatic,2013,16.5,86.8,109,14,75,3.35,Mumbai,MH48,Jun,2013
BMW,3 Series 320d Luxury Line,Comprehensive,Diesel,5,"36,000",First Owner,1995,Automatic,2017,18.88,184,380,17,60,24.94,Mumbai,MH48,Feb,2017
Honda,Civic ZX BSIV,Third Party,Petrol,5,"30,015",First Owner,1799,Automatic,2020,16.5,139.46,174,17,30,18.53,Mumbai,MH04,Jun,2020
Maruti,Wagon R LXI CNG,Third Party,CNG,5,"79,625",First Owner,998,Manual,2015,26.6,58.16,77,,75,3.91,Mumbai,MH47,Jun,2015
MG,Hector Sharp DCT,Third Party,Petrol,5,"33,597",Second Owner,1451,Automatic,2019,13.96,141,250,R17,40,14.8,Mumbai,MH14,Jun,2019
Mercedes-Benz,E-Class E250 CDI Avantgarde,Comprehensive,Diesel,5,"43,000",First Owner,2143,Automatic,2015,14.21,203,500,17,75,18.75,Mumbai,MH02,Jun,2015
Maruti,Baleno 1.2 CVT Zeta,Comprehensive,Petrol,5,"21,820",First Owner,1197,Automatic,2017,21.4,83.1,115,16,60,6.97,Mumbai,MH03,Jun,2017
Hyundai,i20 Sportz 1.2,Comprehensive,Petrol,5,"46,181",Second Owner,1197,Manual,2013,18.5,82.85,113.7,14,75,2.95,Mumbai,MH04,Apr,2013
Maruti,Alto 800 LXI Opt S-CNG,Third Party insurance,CNG,4,"20,000",First Owner,796,Manual,2021,31.59 ,40.36,60,,20,4.5,Mumbai,,Mar,2021
BMW,5 Series 520d Modern Line,Comprehensive,Diesel,5,"57,000",First Owner,1995,Automatic,2014,18.84,184,380,18,75,21.45,Mumbai,MH02,Jun,2014
Volkswagen,Vento IPL II Petrol Trendline,Third Party insurance,Petrol,5,"30,000",First Owner,1598,Manual,2012,15.8,105 PS at 5250 ,153 Nm at 3800 r,14,75,2.2,Mumbai,,Mar,2012
Maruti,XL6 Alpha,Third Party insurance,Petrol,6,"20,000",First Owner,1462,Manual,2021,19.01,103.2,138,R15,20,10.95,Mumbai,,Mar,2021
Hyundai,Creta 1.6 SX Automatic,Third Party insurance,Petrol,5,"29,090",First Owner,1591,Automatic,2018,14.8,121.3,151,17,50,12.5,Mumbai,MH04,May,2018
BMW,5 Series 520d Modern Line,Comprehensive,Diesel,5,"41,000",First Owner,1995,Automatic,2017,18.84,184,380,18,60,27.85,Mumbai,MH01,Oct,2017
Mahindra,XUV500 AT W10 FWD,Comprehensive,Diesel,7,"46,000",First Owner,2179,Automatic,2017,16,140,330,17,60,11.5,Mumbai,MH04,Nov,2017
Mahindra,XUV700 AX7 AT,Third Party insurance,Petrol,7,"15,000",First Owner,1999,Automatic,2022,,197.13,380,18,15,24.25,Mumbai,MH15,Mar,2022
Honda,Civic 1.8 V AT,Comprehensive,Petrol,5,"61,000",First Owner,1799,Automatic,2010,13.9,130.2,171.6,15,75,3.11,Mumbai,MH18,Nov,2010
Mercedes-Benz,E-Class E 200 CGI,Comprehensive,Petrol,5,"52,000",Second Owner,1991,Automatic,2013,12,184,300,17,75,14.55,Mumbai,MH02,Jun,2013
Maruti,Ignis 1.2 AMT Alpha BSIV,Comprehensive,Petrol,5,"56,649",First Owner,1197,Automatic,2018,20.89,81.80,113,15,50,5.91,Mumbai,MH04,Jun,2018
Maruti,Ertiga VXI CNG,Third Party,CNG,7,"51,012",First Owner,1373,Manual,2015,22.8,80.9,110,,75,7.04,Mumbai,MH01,Jun,2015
Maruti,Swift RS VXI,Comprehensive,Petrol,5,"48,379",Second Owner,1197,Manual,2014,18.6,85.8,114,14,75,3.75,Mumbai,MH02,Jun,2014
Audi,A4 1.8 TFSI Multitronic,Comprehensive,Petrol,5,"49,000",First Owner,1798,Automatic,2012,15.64,167.62,320,16,75,12.5,Mumbai,MH04,Sept,2012
Maruti,Baleno Delta,Third Party,Petrol,5,"20,407",First Owner,1197,Manual,2021,21.01,81.80,113,,20,7.41,Mumbai,UP32,Jun,2021
Maruti,A-Star Vxi,Third Party insurance,Petrol,5,"24,568",Third Owner,998,Manual,2011,19,66.1,90,13,75,1.9,Mumbai,MH04,Dec,2011
Maruti,Wagon R LXI CNG,Third Party insurance,CNG,5,"32,159",First Owner,998,Manual,2018,26.6,58.16,77,,50,4.5,Mumbai,MH04,Nov,2018
Mercedes-Benz,E-Class Exclusive E 220d,Comprehensive,Diesel,5,"15,000",First Owner,1950,Automatic,2019,16.1,191.7,400,17,40,50.5,Mumbai,DN09,Dec,2019
Maruti,S-Presso VXI CNG 2019-2020,Third Party,CNG,4,"53,393",Second Owner,998,Manual,2020,31.2,58.33,78,,30,4.92,Mumbai,MH05,Jun,2020
Tata,Nano Lx,Third Party,Petrol,4,"42,000",First Owner,624,Manual,2010,26,35 ,4.8 k,12,75,0.76,Mumbai,MH01,Jul,2010
Hyundai,Creta 1.6 VTVT S,Third Party insurance,Petrol,5,"71,800",First Owner,1591,Manual,2015,15.29,121.3,151,,75,7.25,Mumbai,MH04,Dec,2015
Mercedes-Benz,C-Class Prime C 200,Comprehensive,Petrol,5,"14,700",First Owner,1950,Automatic,2019,11.9,201.15,280,17,40,39.0,Mumbai,MH01,Dec,2019
Mercedes-Benz,E-Class E250 CDI Avantgarde,Comprehensive,Diesel,5,"40,072",First Owner,2143,Automatic,2015,13,204,500,17,75,20.5,Mumbai,MH01,Aug,2015
Hyundai,Creta 1.6 SX Automatic,Comprehensive,Petrol,5,"24,500",First Owner,1591,Automatic,2019,14.8,121.3,151,17,40,13.8,Mumbai,MH47,Dec,2019
Ford,Figo Diesel EXI,Comprehensive,Diesel,5,"61,000",First Owner,1399,Manual,2014,20,68.05,160,,75,2.75,Mumbai,MH48,May,2014
Mercedes-Benz,C-Class Progressive C 200,Comprehensive,Petrol,5,"16,000",First Owner,1950,Automatic,2019,11.9,201.15,280,17,40,39.0,Mumbai,MH02,Sept,2019
Volkswagen,Vento 1.5 TDI Comfortline AT,Third Party insurance,Diesel,5,"56,245",First Owner,1498,Automatic,2014,21.21,103.2,250,15,75,5.85,Mumbai,MH02,Apr,2015
Hyundai,Verna VTVT 1.6 AT SX Option,Comprehensive,Petrol,5,"46,003",First Owner,1591,Automatic,2018,17,121.3,151,16,50,9.85,Mumbai,MH47,Dec,2018
Mercedes-Benz,GL-Class 350 CDI Blue Efficiency,Comprehensive,Diesel,7,"91,000",First Owner,2987,Automatic,2015,11.3,254.8,619,19,75,38.99,Mumbai,MH06,Apr,2015
BMW,1 Series 118d Sport Line,Comprehensive,Diesel,5,"35,000",First Owner,1995,Automatic,2015,23.26,148,320,17,75,16.75,Mumbai,MH46,Mar,2015
